ADM_ServiceCatalogLauncher|ServiceCatalogLaunchPolicy|"Allow"|"*"|["catalog-user:*","cloudformation:CreateStack","cloudformation:DeleteStack","cloudformation:DescribeStackEvents","cloudformation:DescribeStacks","cloudformation:GetTemplateSummary","cloudformation:SetStackPolicy","cloudformation:ValidateTemplate","cloudformation:UpdateStack","s3:GetObject","s3:ReadObject","ec2:*","iam:CreateRole","iam:PutRolePolicy","iam:PassRole","iam:Get*","iam:List*"]
AlertTest|Copy-of-AVI|"Allow"|"*"|["s3:ListAllMyBuckets"]
AlertTest|Copy-of-AVI|"Allow"|["arn:aws:s3:::kitp"]|["s3:GetBucketLocation","s3:ListBucket"]
AlertTest|Copy-of-AVI|"Allow"|["arn:aws:s3:::kitp/*"]|["s3:GetObject"]
AlertTest|Copy-of-AVI|"Allow"|"*"|["ec2:CreateTags","ec2:DescribeTags","ec2:DescribeVolumes"]
AlertTest|DataPipelineDefaultResourceRole_Policy_v2|"Allow"|["*"]|["s3:*","dynamodb:*","ec2:Describe*","elasticmapreduce:Describe*","elasticmapreduce:ListInstance*","elasticmapreduce:AddJobFlowSteps","rds:Describe*","datapipeline:*","cloudwatch:*","redshift:DescribeClusters","redshift:DescribeClusterSecurityGroups","sdb:*","sns:*","sqs:*"]
AmazonSSMRoleForAutomationAssumeQuickSetup|SsmOnboardingInlinePolicy|"Allow"|"*"|["iam:CreateInstanceProfile","iam:ListInstanceProfilesForRole","iam:PassRole","ec2:DescribeIamInstanceProfileAssociations","iam:GetInstanceProfile","ec2:DisassociateIamInstanceProfile","ec2:AssociateIamInstanceProfile","iam:AddRoleToInstanceProfile"]
AutomationRole|policygen-AutomationRole-201702221119|"Allow"|["arn:aws:iam::837010418979:role/AutomationRole","arn:aws:iam::837010418979:role/JulianSSM"]|["iam:PassRole"]
AV-HD-ETL-2008-Prod-Stack-InstanceRole-1I5SUNREJBK0Q|InstanceRole|"Allow"|["arn:aws:s3:::av-kmbdri"]|["s3:ListBucket","s3:GetBucketAcl","s3:GetBucketLocation","s3:ListBucketMultipartUploads"]
AV-HD-ETL-2008-Prod-Stack-InstanceRole-1I5SUNREJBK0Q|InstanceRole|"Allow"|["arn:aws:s3:::av-kmbdri/*"]|["s3:GetObject","s3:GetObjectAcl","s3:GetObjectVersion","s3:GetObjectVersionAcl"]
AV-HD-ETL-2008-Prod-Stack-InstanceRole-1I5SUNREJBK0Q|InstanceRole|"Allow"|["*"]|["ec2:CreateTags","ec2:DeleteTags","ec2:DescribeTags"]
AWS-CodePipeline-Service|oneClick_AWS-CodePipeline-Service_1487878495250|"Allow"|"*"|["s3:GetObject","s3:GetObjectVersion","s3:GetBucketVersioning"]
AWS-CodePipeline-Service|oneClick_AWS-CodePipeline-Service_1487878495250|"Allow"|["arn:aws:s3:::codepipeline*","arn:aws:s3:::elasticbeanstalk*"]|["s3:PutObject"]
AWS-CodePipeline-Service|oneClick_AWS-CodePipeline-Service_1487878495250|"Allow"|"*"|["codecommit:CancelUploadArchive","codecommit:GetBranch","codecommit:GetCommit","codecommit:GetUploadArchiveStatus","codecommit:UploadArchive"]
AWS-CodePipeline-Service|oneClick_AWS-CodePipeline-Service_1487878495250|"Allow"|"*"|["codedeploy:CreateDeployment","codedeploy:GetApplicationRevision","codedeploy:GetDeployment","codedeploy:GetDeploymentConfig","codedeploy:RegisterApplicationRevision"]
AWS-CodePipeline-Service|oneClick_AWS-CodePipeline-Service_1487878495250|"Allow"|"*"|["elasticbeanstalk:*","ec2:*","elasticloadbalancing:*","autoscaling:*","cloudwatch:*","s3:*","sns:*","cloudformation:*","rds:*","sqs:*","ecs:*","iam:PassRole"]
AWS-CodePipeline-Service|oneClick_AWS-CodePipeline-Service_1487878495250|"Allow"|"*"|["lambda:InvokeFunction","lambda:ListFunctions"]
AWS-CodePipeline-Service|oneClick_AWS-CodePipeline-Service_1487878495250|"Allow"|"*"|["opsworks:CreateDeployment","opsworks:DescribeApps","opsworks:DescribeCommands","opsworks:DescribeDeployments","opsworks:DescribeInstances","opsworks:DescribeStacks","opsworks:UpdateApp","opsworks:UpdateStack"]
AWS-CodePipeline-Service|oneClick_AWS-CodePipeline-Service_1487878495250|"Allow"|"*"|["cloudformation:CreateStack","cloudformation:DeleteStack","cloudformation:DescribeStacks","cloudformation:UpdateStack","cloudformation:CreateChangeSet","cloudformation:DeleteChangeSet","cloudformation:DescribeChangeSet","cloudformation:ExecuteChangeSet","cloudformation:SetStackPolicy","cloudformation:ValidateTemplate","iam:PassRole"]
AWS-CodePipeline-Service|oneClick_AWS-CodePipeline-Service_1487878495250|"Allow"|"*"|["codebuild:BatchGetBuilds","codebuild:StartBuild"]
aws-cur-tam-trust-CrossAccountRole-1X73GBV3N2YGQ|permit-readonly-access-to-bucket|"Allow"|"arn:aws:s3:::kantar-billing-reports"|["s3:ListBucket","s3:GetBucketLocation"]
aws-cur-tam-trust-CrossAccountRole-1X73GBV3N2YGQ|permit-readonly-access-to-bucket|"Allow"|"arn:aws:s3:::kantar-billing-reports/cloudhealth/CH_CUR_KANTAR_PROD/*"|["s3:GetObject"]
aws-opsworks-service-role|aws-opsworks-service-policy|"Allow"|["*"]|["ec2:*","iam:PassRole","cloudwatch:GetMetricStatistics","cloudwatch:DescribeAlarms","ecs:*","elasticloadbalancing:*","rds:*"]
CF-Role|Other-S3-Bucket-Access|"Allow"|"*"|["s3:ListAllMyBuckets"]
CF-Role|Other-S3-Bucket-Access|"Allow"|["arn:aws:s3:::millward-brown-analytics"]|["s3:GetBucketLocation","s3:GetObject","s3:ListBucket"]
CF-Role|Other-S3-Bucket-Access|"Allow"|["arn:aws:s3:::millward-brown-analytics/*"]|["s3:GetObject"]
